ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
5482,3503035,Inactive,336184,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,EAST 2 STREET,E,CHURCH AVENUE,BEVERLEY ROAD,40.643,-73.9782,990290.26907553,173556.51153269,POINT (-73.9782 40.643)
10496,1243003,Active,106640,2HR Pas Mon-Sat 0900-2200,,On Street,Manhattan,MULBERRY STREET,E,BAYARD STREET,CANAL STREET,40.7165,-73.9989,984551.6844241,200316.01181935,POINT (-73.9989 40.7165)
2812,3029741,Active,303297,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,5 AVENUE,E,STERLING PLACE,ST JOHNS PLACE,40.6789,-73.9787,990158.83757986,186617.61139469,POINT (-73.9787 40.6789)
2995,3463045,Active,314474,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,86 STREET,N,BAY 10 STREET,BAY 11 STREET,40.6108,-74.0084,981924.63718477,161816.48612827,POINT (-74.0084 40.6108)
448,4152142,Active,426931,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,5 STREET,W,47 AVENUE,47 ROAD,40.7456,-73.9557,996529.99150419,210922.24979319,POINT (-73.9557 40.7456)
3120,4033064,Active,408079,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,JAMAICA AVENUE,S,172 STREET,173 STREET,40.7077,-73.7871,1043265.89114244,197189.71623468,POINT (-73.7871 40.7077)
907,5033001,Active,510909,2 HR Pas Mon-Sat 0800-1900,,On Street,Staten Island,BAY STREET,W,PROSPECT STREET,UNION PLACE,40.6281,-74.0765,963025.86789578,168135.5476371,POINT (-74.0765 40.6281)
15221,1243126,Active,103857,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,BOWERY,W,STANTON STREET,EAST HOUSTON STREET,40.7235,-73.993,986190.10339136,202854.76166311,POINT (-73.993 40.7235)
5808,1243016,Retired,104902,2HR Pas Mon-Sat 1800-2200,,On Street,Manhattan,MULBERRY STREET,E,GRAND STREET,BROOME STREET,40.72,-73.997,985083.50685127,201588.44825086,POINT (-73.997 40.72)
3620,4413136,Active,403814,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,41 AVENUE,S,80 STREET,81 STREET,40.7458,-73.8847,1016197.14836402,211020.49369119,POINT (-73.8847 40.7458)
11694,4013034,Active,424584,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,44 STREET,W,43 AVENUE,QUEENS BOULEVARD,40.7437,-73.9205,1006267.31028411,210232.16390301,POINT (-73.9205 40.7437)
4944,1443622,Active,104676,3HR Com Mon-Fri 0700-1900,,On Street,Manhattan,PARK AVENUE,W,EAST 32 STREET,EAST 33 STREET,40.7461,-73.9822,989169.12532043,211104.73039936,POINT (-73.9822 40.7461)
4203,1348091,Active,110689,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,5 AVENUE,E,EAST 102 STREET,EAST 103 STREET,40.792,-73.9527,997347.72543302,227820.77833202,POINT (-73.9527 40.792)
11757,1403110,Active,101665,2HR Pas Mon-Fri 1000-1600 /2HR Pas Sat 0900-1900,,On Street,Manhattan,10 AVENUE,E,WEST 48 STREET,WEST 49 STREET,40.7637,-73.9924,986351.47314736,217498.05193026,POINT (-73.9924 40.7637)
7486,2262769,Active,212444,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,WEST 231 STREET,S,CORLEAR AVENUE,TIBBETT AVENUE,40.8805,-73.908,1009681.41008319,260095.62224677,POINT (-73.908 40.8805)
5846,3743014,Inactive,342840,15HR Pas Mon-Sat 0800-2200,Gowanus Parking Field,Off Street,Brooklyn,GOWANUS EXPRESSWAY,S,GOWANUS EXPRESSWAY EXIT 24 EB,GOWANUS EXPRESSWAY EXIT 23 EB,40.6573,-74.0046,982977.56290044,178742.78593703,POINT (-74.0046 40.6573)
2532,1453291,Active,106083,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,5 AVENUE,E,EAST 18 STREET,EAST 19 STREET,40.7388,-73.9915,986607.59468237,208430.92669186,POINT (-73.9915 40.7388)
14802,1453211,Active,103146,1HR Com Mon-Sat 0600-2200,,On Street,Manhattan,WEST 14 STREET,N,7 AVENUE,8 AVENUE,40.7394,-74.0014,983868.57785068,208642.82390586,POINT (-74.0014 40.7394)
898,1403103,Active,103223,2HR Pas Mon-Fri 1000-1600 /2HR Pas Sat 0900-1900,,On Street,Manhattan,10 AVENUE,E,WEST 44 STREET,WEST 45 STREET,40.7611,-73.9943,985839.3058646,216573.03671993,POINT (-73.9943 40.7611)
4381,3123159,Active,331784,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,50 STREET,S,7 AVENUE,8 AVENUE,40.6413,-74.004,983129.05242686,172905.24150977,POINT (-74.004 40.6413)
6059,1068248,Active,114485,2 HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,BROADWAY,W,ACADEMY STREET,WEST 204 STREET,40.8668,-73.9239,1005297.67410003,255093.8205706,POINT (-73.9239 40.8668)
5140,2133001,Active,216191,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,CRESCENT AVENUE,N,ADAMS PLACE,HUGHES AVENUE,40.8536,-73.8885,1015105.17384194,250291.37643535,POINT (-73.8885 40.8536)
15339,1023156,Active,100931,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,EAST BROADWAY,S,PIKE STREET,RUTGERS STREET,40.7139,-73.9907,986837.75465511,199383.87293561,POINT (-73.9907 40.7139)
3867,4303059,Active,406447,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,87 DRIVE,S,254 STREET,LITTLE NECK PARKWAY,40.728,-73.7108,1064404.17137235,204639.4411646,POINT (-73.7108 40.728)
1675,4013095,Active,414342,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,38 STREET,E,QUEENS BOULEVARD,47 AVENUE,40.7437,-73.9271,1004455.82079686,210222.6288171,POINT (-73.9271 40.7437)
