the_geom,Carshare_C,Site_Reque,On_Street,From_,To,Address,Site_ID,Community,Side,borough,Lat,Long,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29
POINT (-73.97719886 40.77927632),Getaround,New Site,W 75th St,Central Park W,Columbus Ave,"60 W 75th St, New York, NY 10023",M-G 597,107,S,"Manhattan, NY",40.779276,-73.977199,,,,,,,,,,,,,,,,,
POINT (-73.9566 40.77493),Getaround,New Site,E 80th St,2nd Ave,3rd Ave,"1411 3rd Ave, New York, NY 10028",M-G 91,108,N,"Manhattan, NY",40.77493,-73.9566,,,,,,,,,,,,,,,,,
POINT (-73.9539 40.77532),Truqit Inc,New Site,E 82nd St,2nd Ave,3rd Ave,"1579 2nd Ave New York, NY 10028",M-T 8,108,S,"Manhattan, NY",40.77532,-73.9539,,,,,,,,,,,,,,,,,
POINT (-73.9525 40.784),Getaround,New Site,E 93rd St,Lexington Ave,Park Ave,"134 East 93rd St, New York, NY 10128",M-G 98,108,S,"Manhattan, NY",40.784,-73.9525,,,,,,,,,,,,,,,,,
POINT (-73.956747 40.763098),Zipcar,New Site,E 66th,York,1st,"446 E 66th St, New York, NY 10065",M-Z 616,108,S,"Manhattan, NY",40.763098,-73.956747,,,,,,,,,,,,,,,,,
POINT (-73.96318334 40.77252978),Getaround,New Site,E 74th St,Madison Ave,Park Ave,"78 E 74th St, New York, NY 10021",M-G 598,108,S,"Manhattan, NY",40.77253,-73.963183,,,,,,,,,,,,,,,,,
POINT (-73.94960899 40.78040992),Truqit Inc,New Site,E 90th St,2nd Ave,1st Ave,"1732 2nd Ave, New York, NY 10128",M-T 613,108,N,"Manhattan, NY",40.78041,-73.949609,,,,,,,,,,,,,,,,,
POINT (-73.9629 40.80411),Zipcar,Renewal,W 112th St,Broadway,Amsterdam Ave,"501 W 112th St, New York, NY 10025",M-Z 273,109,E,"Manhattan, NY",40.80411,-73.9629,,,,,,,,,,,,,,,,,
POINT (-73.9654 40.80519),Zipcar,Renewal,W 112th St,Broadway,Amsterdam Ave,"542 West 112th St, New York, NY 10025",M-Z 263,109,W,"Manhattan, NY",40.80519,-73.9654,,,,,,,,,,,,,,,,,
POINT (-73.9601 40.80562),Zipcar,Renewal,W 115th St,Amsterdam Ave,Morningside Dr,"401 W 115th St, New York, NY 10025",M-Z 274,109,E,"Manhattan, NY",40.80562,-73.9601,,,,,,,,,,,,,,,,,
POINT (-73.96 40.80626),Zipcar,Renewal,W 116th St,Amsterdam Ave,Morningside Dr,"438 West 116th St, New York, NY 10027",M-Z 259,109,W,"Manhattan, NY",40.80626,-73.96,,,,,,,,,,,,,,,,,
POINT (-73.9647 40.80742),Getaround,New Site,W 115th St,Broadway,Riverside Dr,"2937 Broadway, New York, NY 10025",M-G 102,109,S,"Manhattan, NY",40.80742,-73.9647,,,,,,,,,,,,,,,,,
POINT (-73.9665 40.80797),Zipcar,Renewal,Riverside Dr,W 115 St,W 114 St,"425 Riverside Dr, New York, NY 10025",M-Z 278,109,N,"Manhattan, NY",40.80797,-73.9665,,,,,,,,,,,,,,,,,
POINT (-73.9583 40.80807),Zipcar,Renewal,W 119th St,Amsterdam Ave,Morningside Dr,"400 West 119th St, New York, NY 10027",M-Z 260,109,E,"Manhattan, NY",40.80807,-73.9583,,,,,,,,,,,,,,,,,
POINT (-73.9589 40.80921),Zipcar,Renewal,W 120th St,Amsterdam Ave,Morningside Dr,"498 West 120th St, New York, NY 10027",M-Z 261,109,W,"Manhattan, NY",40.80921,-73.9589,,,,,,,,,,,,,,,,,
POINT (-73.9574 40.80944),Getaround,New Site,W 121st St,Morningside Dr,Amsterdam Ave,"400 West 121 St, New York, NY 10027",M-G 103,109,S,"Manhattan, NY",40.80944,-73.9574,,,,,,,,,,,,,,,,,
POINT (-73.961 40.81107),Zipcar,Renewal,W 121st St,Broadway,Amsterdam Ave,"598 West 121st St, New York, NY 10027",M-Z 262,109,W,"Manhattan, NY",40.81107,-73.961,,,,,,,,,,,,,,,,,
POINT (-73.9569 40.81282),Zipcar,Renewal,LA Salle St,Broadway,Amsterdam Ave,"27 La Salle St, New York, NY 10027",M-Z 275,109,E,"Manhattan, NY",40.81282,-73.9569,,,,,,,,,,,,,,,,,
POINT (-73.9604 40.81392),Zipcar,Renewal,LA Salle St,Claremont Ave,Broadway,"126 La Salle St, New York, NY 10027",M-Z 276,109,W,"Manhattan, NY",40.81392,-73.9604,,,,,,,,,,,,,,,,,
POINT (-73.9590664694238 40.8151910397924),Getaround,New Site,Tiemann Pl,Broadway,Convent Ave,"19 Tiemann Pl, New York, NY 10027",M-G 104,109,S,"Manhattan, NY",40.815191,-73.959066,,,,,,,,,,,,,,,,,
POINT (-73.9601 40.81551),Zipcar,Renewal,Tiemann Pl,Riverside Dr,Claremont Ave,"64 Tiemann Pl, New York, NY 10027",M-Z 277,109,E,"Manhattan, NY",40.81551,-73.9601,,,,,,,,,,,,,,,,,
POINT (-73.9517 40.82212),Zipcar,Renewal,W 139th St,Hamilton Pl,Amsterdam Ave,"523 West 139th St, New York, NY 10031",M-Z 265,109,W,"Manhattan, NY",40.82212,-73.9517,,,,,,,,,,,,,,,,,
POINT (-73.9532 40.82333),Zipcar,Renewal,W 140th St,Riverside Dr,Broadway,"600 W 140th St, New York, NY 10031",M-Z 272,109,E,"Manhattan, NY",40.82333,-73.9532,,,,,,,,,,,,,,,,,
POINT (-73.9479 40.82456),Zipcar,Renewal,W 144th St,Amsterdam Ave,Convent Ave,"477 W 144th St, New York, NY 10031",M-Z 271,109,W,"Manhattan, NY",40.82456,-73.9479,,,,,,,,,,,,,,,,,
POINT (-73.9515 40.82503),Zipcar,Renewal,W 143rd St,Riverside Dr,Broadway,"604 West 143rd St, New York, NY 10031",M-Z 266,109,E,"Manhattan, NY",40.82503,-73.9515,,,,,,,,,,,,,,,,,
POINT (-73.9436 40.82597),Getaround,New Site,W 148th St,St Nicholas Ave,Convent Ave,"755 St Nicholas Ave, New York, NY 10031",M-G 107,109,S,"Manhattan, NY",40.82597,-73.9436,,,,,,,,,,,,,,,,,
POINT (-73.9487 40.82748),Zipcar,Renewal,W 147th St,Broadway,Amsterdam Ave,"588 West 147th St, New York, NY 10031",M-Z 268,109,W,"Manhattan, NY",40.82748,-73.9487,,,,,,,,,,,,,,,,,
POINT (-73.9511 40.82749),Zipcar,Renewal,W 146th St,Riverside Dr,Broadway,"616 West 146th St, New York, NY 10031",M-Z 267,109,W,"Manhattan, NY",40.82749,-73.9511,,,,,,,,,,,,,,,,,
POINT (-73.946 40.82799),Zipcar,Renewal,W 149th St,Broadway,Amsterdam Ave,"501 W 149th St, New York, NY 10031",M-Z 270,109,E,"Manhattan, NY",40.82799,-73.946,,,,,,,,,,,,,,,,,
POINT (-73.9468 40.83079),Zipcar,Renewal,W 152nd St,Broadway,Amsterdam Ave,"561 West 152nd St, New York, NY 10031",M-Z 269,109,W,"Manhattan, NY",40.83079,-73.9468,,,,,,,,,,,,,,,,,
POINT (-73.9653 40.80679),Zipcar,Renewal,W 114th St,Riverside Dr,Broadway,"624 West 114th St, New York, NY 10025",M-Z 264,109,E,"Manhattan, NY",40.80679,-73.9653,,,,,,,,,,,,,,,,,
POINT (-73.9523 40.79982),Getaround,New Site,W 112th St,St Nicholas Ave,Lenox Ave,"40 St Nicholas Ave, New York, NY 10026",M-G 119,110,N,"Manhattan, NY",40.79982,-73.9523,,,,,,,,,,,,,,,,,
POINT (-73.9421 40.81794),Getaround,New Site,W 139th St,Fredrick Douglass Blvd,Adam Clayton Powell Jr Blvd,"2378 Adam Clayton Powell Jr. Blvd, New York, NY 10030",M-G 118,110,S,"Manhattan, NY",40.81794,-73.9421,,,,,,,,,,,,,,,,,
POINT (-73.9467 40.81979),Zipcar,New Site,St Nicholas Ave,W 138th,W 139th,"574 St Nicholas Ave, New York, NY 10030",M-Z 539,110,E,"Manhattan, NY",40.81979,-73.9467,,,,,,,,,,,,,,,,,
POINT (-73.9451 40.78672),Truqit Inc,New Site,100th St,2nd Ave,1st Ave,"30 East 100th St,New York, NY 10029",M-T 6,111,S,"Manhattan, NY",40.78672,-73.9451,,,,,,,,,,,,,,,,,
POINT (-73.9459 40.79033),Getaround,New Site,E 104th St,Lexington Ave,3rd Ave,"190 East 104th St, New York, NY 10029",M-G 136,111,S,"Manhattan, NY",40.79033,-73.9459,,,,,,,,,,,,,,,,,
POINT (-73.9427 40.79401),Truqit Inc,New Site,110th St,3rd Ave,2nd Ave,"2001 3rd Ave, New York, NY 10029",M-T 5,111,S,"Manhattan, NY",40.79401,-73.9427,,,,,,,,,,,,,,,,,
POINT (-73.9364 40.79455),Zipcar,Renewal,E 114th St,1st Ave,Pleasant Ave,"400 East 114th St, New York, NY 10029",M-Z 494,111,W,"Manhattan, NY",40.79455,-73.9364,,,,,,,,,,,,,,,,,
POINT (-73.943 40.79564),Zipcar,Renewal,E 112th St,Park Ave,Lexington Ave,"146 East 112th St, New York, NY 10029",M-Z 500,111,E,"Manhattan, NY",40.79564,-73.943,,,,,,,,,,,,,,,,,
POINT (-73.9325 40.79646),Truqit Inc,New Site,118th St,Pleasant Ave,1st Ave,"45 East 118th St, New York, NY 10035",M-T 3,111,S,"Manhattan, NY",40.79646,-73.9325,,,,,,,,,,,,,,,,,
POINT (-73.9384 40.79648),Zipcar,Renewal,E 115th St,3rd Ave,2nd Ave,"249 E 115th St, New York, NY 10029",M-Z 499,111,E,"Manhattan, NY",40.79648,-73.9384,,,,,,,,,,,,,,,,,
POINT (-73.9372 40.79859),Zipcar,Renewal,E 118th St,3rd Ave,2nd Ave,"249 E 118th St, New York, NY 10035",M-Z 498,111,E,"Manhattan, NY",40.79859,-73.9372,,,,,,,,,,,,,,,,,
